SKU,Price,Wholesale price
72683525372208,592,510
72683526086926,592,510
72683540449668,384,331
72683560780019,534,443
72683610936039,3094,2714
72683627795275,3354,2890
72683644341187,4524,3898
72714777896306,432,365
72746873974194,358,303
72746906691868,520,439
72746914902762,520,439
72746927982979,520,439
72816765779315,176,149
72816772807221,156,132
72841922050749,1755,1482
72841931419736,210,177
72841941352109,75,63
72841948475979,75,63
72841952729459,75,63
72842213938604,1755,1482
72842216011993,1755,1482
72842218732878,1755,1482
72843056232502,210,177
72843057763949,210,177
72859596138672,311,263
72894752463107,716,605
72894758893279,716,605
72894782088729,581,491
72910493190275,799,776
72920249796959,669,565
72920251999454,669,565
72920253657890,669,565
72920254977305,669,565
72920258141787,669,565
72920272421717,351,297
72997958827570,61,52
72997966323032,61,52
73031583320067,113,95
73031597757715,68,57
73031601644562,68,57
73031603763838,68,57
73031605528385,68,57
73031634388931,68,57
73031639954396,68,57
73031642236430,68,57
73031661547705,385,325
73031673530919,385,325
73031677049449,385,325
73031678616713,385,325
73031701809797,376,317
73031705563650,376,317
73031783271433,21,18
73031786955239,21,18
73031788421278,21,18
73031789858391,21,18
73031810721506,385,325
73049265823166,102,86
73049267890646,102,86
73049280201977,102,86
73049281953829,102,86
73049284007758,102,86
73049298624560,102,86
73049300314249,102,86
73049310756583,102,86
73049312064203,102,86
73049332809528,102,86
73049335181860,102,86
73049354708552,102,86
73049357241693,102,86
73049373420282,102,86
73049376621065,102,86
73049396727399,238,201
73049401182883,238,201
73049402694855,238,201
73049405112738,238,201
73049406675593,238,201
73049442068298,81,69
73049584281290,102,86
73083061175860,903.5,785.5
73083062625388,903.5,785.5
73083066021536,903.5,785.5
73083112759081,2106,1779
73083120569652,2106,1779
73083164465826,146,124
73083166213647,146,124
73083218027903,534,451
73083259483068,162,137
73083267352904,162,137
73083332574071,3584,3108
73093975063080,754,662
73093986605640,1645,1443
73093995733952,754,662
73100647713403,1856,1610
73100660138568,3315,2907
73108511875723,878,741
73117897877509,67.84,57.5
73117910626354,103.68,91
73117925144767,98,83
73117950936864,45,38
73117964375993,173,146
73117966952062,173,146
73117982867812,264,223
73117984975705,264,223
73118001722814,173,146
73118003816915,173,146
73118015958641,149,126
73118019363023,149,126
73118020836794,149,126
73118022483417,149,126
73118024395423,149,126
73118045846689,716,605
73118047305047,716,605
73118048685924,716,605
73145182330535,75,63
73145798359962,878,741
73145800177364,878,741
73169717597363,104,88
73169728608295,104,88
73169757130549,104,88
73169758721681,104,88
73169760996450,104,88
