SKU,Price,Wholesale price
39982305870017,79.31,67.24
39982305870374,79.31,67.24
40046953496769,6.03,4.91
40051819086017,99.14,83.53
40055668408513,6.9,6.03
40055796138177,10.34,8.9
40055796170945,10.34,8.9
40055796203713,10.34,8.9
40055796236481,10.34,8.9
40055796237328,10.34,8.9
40056338809025,112.07,94.34
40061505110209,151.72,127.76
40061505142977,151.72,127.76
40061505208513,151.72,127.76
40063386353857,6.03,4.91
40063537152193,18.97,15.23
40063537184961,18.97,15.23
40063537217729,18.97,15.23
40063537250497,18.97,15.23
40076829982913,18.97,15.23
40076830015681,18.97,15.23
40076830048449,18.97,15.23
40407936598209,38.79,32.43
40788923252929,10.34,8.84
40789948006593,87.93,74.14
40789948006594,87.93,74.14
40837514395841,168.97,142.5
40837514428609,168.97,142.5
40837514461377,168.97,142.5
40841226027201,181.9,153.31
40841226059969,181.9,153.31
40841226092737,181.9,153.31
40841226125505,181.9,153.31
40841226158273,181.9,153.31
40841226191041,181.9,153.31
40841226223809,181.9,153.31
40841226256577,181.9,153.31
40861407871169,170.69,144.03
40864042516673,82.76,69.47
40864042549441,82.76,69.47
40864042582209,82.76,69.47
40864042614977,82.76,69.47
40864042647745,82.76,69.47
40864042680513,82.76,69.47
40893137387713,52.59,47.41
40893137420481,52.59,47.41
40893137453249,52.59,47.41
40902512902337,122.41,103.19
40902512935105,122.41,103.19
40902662848705,122.41,103.19
40944505553089,12.07,9.48
40952461099201,45.69,38.79
40952461131969,45.69,38.79
40952461164737,45.69,38.79
40952461230273,45.69,38.79
40952461263041,45.69,38.79
40952585355457,45.69,38.79
40952585388225,45.69,38.79
40952585420993,45.69,38.79
40952585453761,45.69,38.79
40952585486529,45.69,38.79
40952635097281,67.24,57.0
40952635130049,67.24,57.0
40952635162817,67.24,57.0
40952635195585,67.24,57.0
40952635228353,67.24,57.0
40952648696001,112.07,94.34
40952648728769,112.07,94.34
40952648761537,112.07,94.34
40952648794305,112.07,94.34
40973581877441,256.03,216.21
40973581910209,256.03,216.21
40973581942977,256.03,216.21
40973581975745,256.03,216.21
42042779959543,151.72,127.76
42074019234039,112.07,94.34
42086038044919,29.31,24.15
42086038077687,29.31,24.15
42090677141751,112.07,94.34
42108781166839,0.86,0.98
42113593934071,45.69,38.79
42113593966839,104.31,96.55
42113670086903,26.72,22.6
42128458449143,315.52,266.03
42128463986935,315.52,266.03
42128476995831,268.1,226.21
42135825285367,155.17,130.47
42136311070967,12.07,9.34
42150341542135,156.03,131.69
42150341607671,156.03,131.69
42156487082231,137.07,115.97
42156496355575,209.48,176.72
42156496388343,209.48,176.72
42156496453879,209.48,176.72
42156496486647,195.69,165.52
42187175198967,18.97,15.23
42200429691127,92.24,77.64
42200429723895,92.24,77.64
42200429789431,92.24,77.64
42218964713719,156.03,131.69
42218964746487,156.03,131.69
42218964779255,156.03,131.69
42266508132599,20.69,16.38
42266526449911,116.38,98.28
42266526482679,116.38,98.28
42266526515447,116.38,98.28
